name,version,type,purl,license
@esbuild/darwin-arm64,0.21.5,library,pkg:npm/%40esbuild/darwin-arm64@0.21.5,MIT
@esbuild/darwin-x64,0.21.5,library,pkg:npm/%40esbuild/darwin-x64@0.21.5,MIT
@esbuild/freebsd-arm64,0.21.5,library,pkg:npm/%40esbuild/freebsd-arm64@0.21.5,MIT
@esbuild/freebsd-x64,0.21.5,library,pkg:npm/%40esbuild/freebsd-x64@0.21.5,MIT
@esbuild/linux-arm,0.21.5,library,pkg:npm/%40esbuild/linux-arm@0.21.5,MIT
@esbuild/linux-arm64,0.21.5,library,pkg:npm/%40esbuild/linux-arm64@0.21.5,MIT
@esbuild/linux-ia32,0.21.5,library,pkg:npm/%40esbuild/linux-ia32@0.21.5,MIT
@esbuild/linux-loong64,0.21.5,library,pkg:npm/%40esbuild/linux-loong64@0.21.5,MIT
@esbuild/linux-mips64el,0.21.5,library,pkg:npm/%40esbuild/linux-mips64el@0.21.5,MIT
@esbuild/linux-ppc64,0.21.5,library,pkg:npm/%40esbuild/linux-ppc64@0.21.5,MIT
@esbuild/linux-riscv64,0.21.5,library,pkg:npm/%40esbuild/linux-riscv64@0.21.5,MIT
@esbuild/linux-s390x,0.21.5,library,pkg:npm/%40esbuild/linux-s390x@0.21.5,MIT
@esbuild/linux-x64,0.21.5,library,pkg:npm/%40esbuild/linux-x64@0.21.5,MIT
@esbuild/netbsd-x64,0.21.5,library,pkg:npm/%40esbuild/netbsd-x64@0.21.5,MIT
@esbuild/openbsd-x64,0.21.5,library,pkg:npm/%40esbuild/openbsd-x64@0.21.5,MIT
@esbuild/sunos-x64,0.21.5,library,pkg:npm/%40esbuild/sunos-x64@0.21.5,MIT
@esbuild/win32-arm64,0.21.5,library,pkg:npm/%40esbuild/win32-arm64@0.21.5,MIT
@esbuild/win32-ia32,0.21.5,library,pkg:npm/%40esbuild/win32-ia32@0.21.5,MIT
@esbuild/win32-x64,0.21.5,library,pkg:npm/%40esbuild/win32-x64@0.21.5,MIT
postcss,8.5.6,library,pkg:npm/postcss@8.5.6,MIT
nanoid,3.3.11,library,pkg:npm/nanoid@3.3.11,MIT
source-map-js,1.2.1,library,pkg:npm/source-map-js@1.2.1,BSD-3-Clause
rollup,4.53.3,library,pkg:npm/rollup@4.53.3,MIT
@rollup/rollup-android-arm-eabi,4.53.3,library,pkg:npm/%40rollup/rollup-android-arm-eabi@4.53.3,MIT
@rollup/rollup-android-arm64,4.53.3,library,pkg:npm/%40rollup/rollup-android-arm64@4.53.3,MIT
@rollup/rollup-darwin-arm64,4.53.3,library,pkg:npm/%40rollup/rollup-darwin-arm64@4.53.3,MIT
@rollup/rollup-darwin-x64,4.53.3,library,pkg:npm/%40rollup/rollup-darwin-x64@4.53.3,MIT
@rollup/rollup-freebsd-arm64,4.53.3,library,pkg:npm/%40rollup/rollup-freebsd-arm64@4.53.3,MIT
@rollup/rollup-freebsd-x64,4.53.3,library,pkg:npm/%40rollup/rollup-freebsd-x64@4.53.3,MIT
@rollup/rollup-linux-arm-gnueabihf,4.53.3,library,pkg:npm/%40rollup/rollup-linux-arm-gnueabihf@4.53.3,MIT
@rollup/rollup-linux-arm-musleabihf,4.53.3,library,pkg:npm/%40rollup/rollup-linux-arm-musleabihf@4.53.3,MIT
@rollup/rollup-linux-arm64-gnu,4.53.3,library,pkg:npm/%40rollup/rollup-linux-arm64-gnu@4.53.3,MIT
@rollup/rollup-linux-arm64-musl,4.53.3,library,pkg:npm/%40rollup/rollup-linux-arm64-musl@4.53.3,MIT
@rollup/rollup-linux-loong64-gnu,4.53.3,library,pkg:npm/%40rollup/rollup-linux-loong64-gnu@4.53.3,MIT
@rollup/rollup-linux-ppc64-gnu,4.53.3,library,pkg:npm/%40rollup/rollup-linux-ppc64-gnu@4.53.3,MIT
@rollup/rollup-linux-riscv64-gnu,4.53.3,library,pkg:npm/%40rollup/rollup-linux-riscv64-gnu@4.53.3,MIT
@rollup/rollup-linux-riscv64-musl,4.53.3,library,pkg:npm/%40rollup/rollup-linux-riscv64-musl@4.53.3,MIT
@rollup/rollup-linux-s390x-gnu,4.53.3,library,pkg:npm/%40rollup/rollup-linux-s390x-gnu@4.53.3,MIT
@rollup/rollup-linux-x64-gnu,4.53.3,library,pkg:npm/%40rollup/rollup-linux-x64-gnu@4.53.3,MIT
@rollup/rollup-linux-x64-musl,4.53.3,library,pkg:npm/%40rollup/rollup-linux-x64-musl@4.53.3,MIT
@rollup/rollup-openharmony-arm64,4.53.3,library,pkg:npm/%40rollup/rollup-openharmony-arm64@4.53.3,MIT
@rollup/rollup-win32-arm64-msvc,4.53.3,library,pkg:npm/%40rollup/rollup-win32-arm64-msvc@4.53.3,MIT
@rollup/rollup-win32-ia32-msvc,4.53.3,library,pkg:npm/%40rollup/rollup-win32-ia32-msvc@4.53.3,MIT
@rollup/rollup-win32-x64-gnu,4.53.3,library,pkg:npm/%40rollup/rollup-win32-x64-gnu@4.53.3,MIT
@rollup/rollup-win32-x64-msvc,4.53.3,library,pkg:npm/%40rollup/rollup-win32-x64-msvc@4.53.3,MIT
fsevents,2.3.3,library,pkg:npm/fsevents@2.3.3,MIT
vite-node,1.6.1,library,pkg:npm/vite-node@1.6.1,MIT
cac,6.7.14,framework,pkg:npm/cac@6.7.14,MIT
why-is-node-running,2.3.0,library,pkg:npm/why-is-node-running@2.3.0,MIT
siginfo,2.0.0,library,pkg:npm/siginfo@2.0.0,ISC
stackback,0.0.2,library,pkg:npm/stackback@0.0.2,MIT
@ampproject/remapping,2.3.0,library,pkg:npm/%40ampproject/remapping@2.3.0,Apache-2.0
@jridgewell/gen-mapping,0.3.13,library,pkg:npm/%40jridgewell/gen-mapping@0.3.13,MIT
@jridgewell/trace-mapping,0.3.31,library,pkg:npm/%40jridgewell/trace-mapping@0.3.31,MIT
@jridgewell/resolve-uri,3.1.2,library,pkg:npm/%40jridgewell/resolve-uri@3.1.2,MIT
@bcoe/v8-coverage,0.2.3,library,pkg:npm/%40bcoe/v8-coverage@0.2.3,MIT
istanbul-lib-coverage,3.2.2,library,pkg:npm/istanbul-lib-coverage@3.2.2,BSD-3-Clause
istanbul-lib-report,3.0.1,library,pkg:npm/istanbul-lib-report@3.0.1,BSD-3-Clause
make-dir,4.0.0,library,pkg:npm/make-dir@4.0.0,MIT
istanbul-lib-source-maps,5.0.6,library,pkg:npm/istanbul-lib-source-maps@5.0.6,BSD-3-Clause
istanbul-reports,3.2.0,library,pkg:npm/istanbul-reports@3.2.0,BSD-3-Clause
html-escaper,2.0.2,library,pkg:npm/html-escaper@2.0.2,MIT
magicast,0.3.5,library,pkg:npm/magicast@0.3.5,MIT
@babel/parser,7.29.7,library,pkg:npm/%40babel/parser@7.29.7,MIT
@babel/types,7.29.7,library,pkg:npm/%40babel/types@7.29.7,MIT
@babel/helper-string-parser,7.29.7,library,pkg:npm/%40babel/helper-string-parser@7.29.7,MIT
@babel/helper-validator-identifier,7.29.7,library,pkg:npm/%40babel/helper-validator-identifier@7.29.7,MIT
test-exclude,6.0.0,library,pkg:npm/test-exclude@6.0.0,ISC
@istanbuljs/schema,0.1.3,library,pkg:npm/%40istanbuljs/schema@0.1.3,MIT
@yao-pkg/pkg,6.20.0,library,pkg:npm/%40yao-pkg/pkg@6.20.0,MIT
